produto,categoria,preco,quantidade,data
Notebook,Informatica,3500,2,2026-05-01
Mouse,Perifericos,150,5,2026-05-01
Teclado,Perifericos,300,3,2026-05-01
Monitor,Informatica,1200,4,2026-05-02
Headset,Perifericos,450,2,2026-05-02
Cadeira Gamer,Moveis,1800,1,2026-05-02
Webcam,Perifericos,250,4,2026-05-03
SSD 1TB,Informatica,600,6,2026-05-03
Memoria RAM,Informatica,400,5,2026-05-03
Mesa Office,Moveis,900,2,2026-05-04
Notebook Gamer,Informatica,7500,1,2026-05-04
Mousepad,Perifericos,80,10,2026-05-04
Impressora,Informatica,950,2,2026-05-05
Cadeira Office,Moveis,1200,2,2026-05-05
Caixa de Som,Perifericos,350,3,2026-05-05
Dock Station,Informatica,700,2,2026-05-06
HD Externo,Informatica,500,4,2026-05-06
Microfone,Perifericos,650,2,2026-05-06
Smartphone,Eletronicos,2800,3,2026-05-07
Tablet,Eletronicos,1900,2,2026-05-07
Smartwatch,Eletronicos,1300,4,2026-05-07
Carregador,Eletronicos,120,8,2026-05-08
Roteador,Informatica,450,3,2026-05-08
Switch,Informatica,850,2,2026-05-08
Servidor,Informatica,12000,1,2026-05-09
Rack,Moveis,2300,1,2026-05-09
Camera IP,Eletronicos,780,5,2026-05-09
Sensor IoT,Eletronicos,320,7,2026-05-10
Projetor,Eletronicos,4200,1,2026-05-10
TV 55,Eletronicos,3500,2,2026-05-10
